INFO   | jvm 1    | main    | 2014/01/06 12:24:41.167 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (btg) located in (btg-spring.xml) took: (73.03 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.170 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (ticketsystem) located in (ticketsystem-spring.xml) took: (76.79 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.272 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (payment) located in (payment-spring.xml) took: (28.74 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.274 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (platformhmc) located in (platformhmc-spring.xml) took: (18.91 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.376 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (commerceservices) located in (commerceservices-spring.xml) took: (97.08 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.578 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (acceleratorservices) located in (acceleratorservices-spring.xml) took: (222.3 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.582 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (yacceleratorfulfilmentprocess) located in (yacceleratorfulfilmentprocess-spring.xml) took: (60.67 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.685 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (acceleratorsampledata) located in (acceleratorsampledata-spring.xml) took: (17.46 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.688 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (acceleratorcms) located in (acceleratorcms-spring.xml) took: (18.64 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.790 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (merchandisecore) located in (merchandisecore-spring.xml) took: (150.3 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.892 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (merchandiseinitialdata) located in (merchandiseinitialdata-spring.xml) took: (87.70 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:41.996 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (commercefacades) located in (commercefacades-spring.xml) took: (125.7 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.102 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (ycommercewebservices) located in (ycommercewebservices-spring.xml) took: (27.85 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.105 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (acceleratorfacades) located in (acceleratorfacades-spring.xml) took: (33.82 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.108 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (merchandisefacades) located in (merchandisefacades-spring.xml) took: (20.61 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.119 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (merchandisetest) located in (merchandisetest-spring.xml) took: (15.37 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.121 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (addonsupport) located in (addonsupport-spring.xml) took: (14.80 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.223 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (instore) located in (instore-spring.xml) took: (48.73 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.225 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (yinstoreinitialdata) located in (yinstoreinitialdata-spring.xml) took: (17.69 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.228 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (cockpit) located in (cockpit-spring.xml) took: (36.46 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:42.230 | [m[0;32mINFO  [WrapperSimpleAppMain] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (cscockpit) located in (cscockpit-spring.xml) took: (22.99 ms)
